code,name_short,gender,function,country_code,country,nationality,height,weight,disciplines,events,birth_date,occupation,coach,influence,ritual,cluster
1971919,BURG J,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,Athlete,National: Paul van Ass (NED).<br>Club: Marieke Dijkstra (NED),,,2
1971921,CROON JJW,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,National: Jeroen Delmee (NED).<br>Club: Rick Mathijssen (NED),,,2
1971922,van DAM T,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,"Athlete, business owner",Club: Robin Rosch (GER)<br>National: Jeroen Delmee (NED),His father,,2
1971923,DICKE P,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,,,,,2
1971927,FOKKE LN,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,Athlete,Club: Kai de Jager (NED)<br>National: Paul van Ass (NED),,"""I like to sleep for as long as possible before a game."" Makes sure to have a proper breakfast on game day",2
1971929,de GEUS J,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,National: Jeroen Delmee (NED).<br>Club: Tim Oudenaller (NED),,,2
1971932,van HEIJNINGEN S,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,,,,,2
1971934,HOEDEMAKERS T,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,"Athlete, student",Club: Robin Rosch (GER).<br>National: Jeroen Delmee (NED),,,2
1971940,JANSEN Y,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, student",Club: Luke Judge (NED)<br>National: Paul van Ass (NED),,,2
1971941,JANSSEN J,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,"Athlete, data analyst",Club: Tim Oudenaller (NED)<br>National: Jeroen Delmee (NED),,,2
1971942,JOCHEMS M,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, student",Club: Robbert van de Peppel (NED)<br>National: Paul van Ass (NED),,,2
1971945,KOOLEN S,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, student",Club: Marieke Dijkstra (NED)<br>National: Paul van Ass (NED),,,2
1971948,van LAARHOVEN R,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,Athlete,Club: Luke Judge (NED)<br>National: Paul van Ass (NED),,,2
1971950,MATLA F,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, student",Club: Marieke Dijkstra (NED)<br>National: Paul van Ass (NED),Dutch hockey player Maartje Paumen,,2
1971952,MIDDENDORP F,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,Club: Taco van den Honert (NED).<br>National: Jeroen Delmee (NED),,Checks that he has all his gear three times before he leaves the house,2
1971955,MOES F,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, student",Club: Teun de Nooijer (NED)<br>National: Paul van Ass (NED),,,2
1971956,de MOL J,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,National: Jeroen Delmee (NED).<br>Club: Jeroen Baart (NED),,,2
1971958,NUNNINK L,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, business manager",Club: Marieke Dijkstra (NED)<br>National: Paul van Ass (NED),,,2
1971960,POST L,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,Athlete,Club: Luke Judge (NED)<br>National: Paul van Ass (NED),,,2
1971963,REYENGA T,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,Club: Jeroen Baart (NED).<br>National: Jeroen Delmee (NED),,,2
1971965,SANDERS P,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,Athlete,Club: Marieke Dijkstra (NED)<br>National: Paul van Ass (NED),,,2
1971968,TELGENKAMP D,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Men'],,Athlete,Club: Tim Oudenaller (NED)<br>National: Jeroen Delmee (NED),,,2
1971973,VEEN M,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,"Athlete, student",Club: Teun de Nooijer (NED)<br>National: Paul van Ass (NED),,,2
1971974,VEENENDAAL A,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,Athlete,Club: Teun de Nooijer (NED)<br>National: Paul van Ass (NED),,,2
1971975,VERSCHOOR M,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Hockey'],['Women'],,Athlete,Club: Teun de Nooijer (NED)<br>National: Paul van Ass (NED),,,2
